Item #,Product/Trade Name,Manufacturer,Mfr Emergency Phone,Primary CAS #,Additional CAS #s,Chemical Name(s),Physical State,Container Size,GHS Pictogram Codes,Signal Word,GHS Hazard Category,NFPA Health,NFPA Fire,NFPA Reactivity,NFPA Special,Flash Point (°F),pH,Cal/OSHA PEL,ACGIH TLV,IDLH,EPCRA 302 EHS,TPQ (lbs),EPCRA 311/312 Threshold,CERCLA RQ (lbs),EPCRA 313 TRI,Prop 65 Listed,RCRA Waste Codes,CA Haz Waste,Storage Compatibility,Incompatible Materials,Secondary Containment,PPE Required,SDS Link,SDS Rev Date,RoHS Compliant,REACH SVHC,Notes/Flags
11,Formula 747 Plus Adhesive Remover,Sentinel,1-800-424-9300,MIXTURE,"64742-47-8, 111-76-2","Petroleum distillates, 2-Butoxyethanol",Liquid,1 gallon,"GHS02, GHS07",Warning,"Flam. Liq. 3, Skin Irrit. 2",2,2,0,,105,,100 ppm (2-BE),20 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,VOC compliant adhesive remover
12,Consolideck LSGuard Concrete Sealer,PROSOCO,1-800-424-9300,MIXTURE,PROPRIETARY,Lithium silicate solution,Liquid,5 gallon,GHS07,Warning,Eye Irrit. 2,1,0,0,,N/A,9-11,,,,No,,"10,000",,No,No,,No,General,Strong acids,Yes,"Safety glasses, gloves",,,Yes,No,NSF certified concrete floor sealer
13,Sweeping Compound,Tough Guy (Grainger),,MIXTURE,8052-42-4,"Petroleum asphalt, sand, oil",Solid,~50 lb drum,,,Not classified,1,1,0,,>200,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,General,None significant,No,Dust mask if generating dust,,,Yes,No,Oil-based floor sweeping compound
14,Specialist Silicone Lubricant,WD-40 Company,1-888-324-7596,MIXTURE,"64742-47-8, 63148-62-9","Petroleum distillates, Polydimethylsiloxane",Liquid/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,-18,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Quick-drying silicone lubricant
15,Industrial Cleaner & Degreaser,Simple Green,1-800-228-0709,MIXTURE,111-76-2,"2-Butoxyethanol, Surfactants",Liquid,spray bottle,GHS07,Warning,Eye Irrit. 2,1,0,0,,>200,9-10,50 ppm (2-BE),20 ppm,,No,,"10,000",,No,No,,No,General,"Strong oxidizers, strong acids",No,Safety glasses,,,Yes,No,EPA Safer Choice certified
16,Specialist White Lithium Grease,WD-40 Company,1-888-324-7596,MIXTURE,"64742-47-8, 7620-77-1","Petroleum distillates, Lithium 12-hydroxystearate",Semi-solid/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,<0,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Heavy-duty lithium grease
17,Specialist Gel Lube,WD-40 Company,1-888-324-7596,MIXTURE,64742-47-8,Petroleum distillates,Gel/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,<0,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,No-drip formula
18,Door & Operator Penetrating Oil,Fehr Bros. Industries,,MIXTURE,"64742-47-8, 64742-52-5","Petroleum distillates, Naphthenic oil",Liquid/Aerosol,15 oz,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,4,0,,-20,,100 ppm,100 ppm,,No,,"10,000",,No,LISTED (see SDS),,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,⚠️ Prop 65 warning on label - verify specific chemical
19,LU 210 Food Grade Silicone Lubricant,Sprayon,1-800-424-9300,MIXTURE,"64742-47-8, 63148-62-9","Petroleum distillates, Dimethyl siloxane",Liquid/Aerosol,10 oz,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,-18,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,NSF H1 registered food grade lubricant
20,Cutting Fluid EP-9,McMaster-Carr,1-800-424-9300,MIXTURE,"64742-54-7, 64742-65-0",Petroleum distillates (heavy paraffinic),Liquid,bottle,GHS08,Danger,Asp. Tox. 1,1,1,0,,>200,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Extra tough cutting oil for hardened metals
21,Rapid Tap Heavy Duty Cutting Fluid,Relton/Steco,1-800-424-9300,MIXTURE,"64742-54-7, 68648-87-3","Paraffinic oil, Chlorinated paraffin",Liquid,16 fl oz,GHS07,Warning,Skin Sens. 1,1,1,0,,>250,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Safety glasses, gloves",,,Verify - may contain chlorinated paraffin,Verify,Chlorinated paraffin may be REACH SVHC - verify
22,XTRA-THICK Cutting Fluid,Tap Magic,1-800-424-9300,MIXTURE,64742-54-7,Heavy paraffinic oil,Liquid,bottle,GHS08,Danger,Asp. Tox. 1,1,1,0,,>200,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Thick formula for vertical surfaces
23,Aluminum Cutting Fluid,Tap Magic,1-800-424-9300,64742-47-8,"104-55-2, 8015-91-6","Petroleum distillates, Cinnamaldehyde, Cinnamon oil",Liquid,bottle,"GHS07, GHS08, GHS09",Danger,"Asp. Tox. 1, Skin Sens. 1, Aquatic Chronic 3",2,2,0,,140,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,For soft metals - contains cinnamon oil
24,Cutting/Tapping Wax CE-16,Unknown,,MIXTURE,PROPRIETARY,"Wax, petroleum compounds",Solid,stick,,,Not classified,1,1,0,,>400,,,,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,None required,,,Yes,No,Stick lubricant for machining
25,CUT-EASE Stick Lubricant,Unknown,,MIXTURE,PROPRIETARY,"Wax, petroleum compounds",Solid,stick,,,Not classified,1,1,0,,>400,,,,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,None required,,,Yes,No,For high-speed cutting operations
26,Sheila Shine Stainless Steel Polish,Sheila Shine Inc.,1-800-424-9300,MIXTURE,"64742-47-8, 67-64-1","Petroleum distillates, Acetone",Liquid/Aerosol,10 oz,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Stainless steel cleaner and protectant
27,Stainless Steel Cleaner & Polish,Weiman,1-800-424-9300,MIXTURE,64742-47-8,"Petroleum distillates, Silicone",Liquid/Aerosol,aerosol,"GHS02, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",1,3,0,,<0,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Streak-free formula
28,Bio-General Purpose Cut 40,Renewable Lubricants,1-800-424-9300,MIXTURE,PROPRIETARY,Biobased vegetable oil esters,Liquid,1 gallon,,,Not classified,0,1,0,,>400,,,,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,"Biobased/biodegradable cutting oil - US Patent 5,863,872"
29,Rapid Tac Cleaner and Application Fluid,Rapid Tac Canada,1-800-981-8407,MIXTURE,PROPRIETARY,Water-based surfactant solution,Liquid,spray bottle,,,Not classified,0,0,0,,N/A,7-8,,,,No,,"10,000",,No,No,,No,General,None significant,No,None required,,,Yes,No,For vinyl graphics application
30,Titebond III Ultimate Wood Glue,Franklin International,1-800-424-9300,MIXTURE,PROPRIETARY,Proprietary cross-linking PVA,Liquid,bottle,,,Not classified,1,0,0,,N/A,2-3,,,,No,,"10,000",,No,No,,No,General,None significant,No,"Safety glasses, gloves",,,Yes,No,Waterproof PVA wood adhesive
31,BOELUBE Paste,The Orelube Corporation,1-800-424-9300,MIXTURE,PROPRIETARY,"Synthetic ester, Thickener",Semi-solid,jar,,,Not classified,0,1,0,,>400,,,,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,Boeing-developed aerospace machining lubricant
32,Extra Hold Hair Spray,TRESemmé,,MIXTURE,"64-17-5, 75-37-6","Ethanol, Difluoroethane",Liquid/Aerosol,aerosol,GHS02,Danger,Flam. Aerosol 1,1,4,0,,-4,,1000 ppm (EtOH),1000 ppm,,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, open flames",Yes,Ventilation,,,Yes,No,Consumer product - likely used for 3D printing bed adhesion
33,Hi-Strength 90 CA Spray Adhesive,3M,1-800-364-3577,MIXTURE,"142-82-5, 75-37-6","n-Heptane, 1,1-Difluoroethane",Liquid/Aerosol,19 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1, STOT SE 3",2,4,0,,-4,,400 ppm (heptane),400 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Heavy duty industrial adhesive - CARB/OTC VOC compliant
34,8310A Conformal Coating Remover-Gel,MG Chemicals,1-800-424-9300,MIXTURE,"67-64-1, 71-36-3","Acetone, n-Butanol",Gel,55 mL,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2",2,3,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Gel formula for controlled removal
35,Ninja MDF Instant Adhesive Spray,Selsil,,MIXTURE,75-37-6,"1,1-Difluoroethane, Cyanoacrylate",Liquid/Aerosol,200 mL,"GHS02, GHS05, GHS07, GHS09",Danger,"Flam. Aerosol 1, Skin Irrit. 2",2,4,0,,<0,,,,,No,,"10,000",,No,No,,No,Flammable,"Water (cures), strong bases",Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Fast-setting MDF adhesive
36,Super 77 Multipurpose Adhesive,3M,1-800-364-3577,MIXTURE,"142-82-5, 75-37-6, 67-64-1","n-Heptane, Difluoroethane, Acetone",Liquid/Aerosol,13.8 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Asp. Tox. 1",2,4,0,,-4,,400 ppm (heptane),400 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Multi-purpose spray adhesive
37,SAE 80W-90 Gear Oil,MasterPro (O'Reilly),1-800-424-9300,MIXTURE,64742-65-0,Petroleum distillates (heavy paraffinic),Liquid,32 oz,,,Not classified,0,1,0,,>300,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,Oil,Strong oxidizers,Yes,"Gloves, safety glasses",,,Yes,No,API GL-5 extreme pressure gear lubricant
38,Flex Seal Liquid Rubber Sealant,Flex Seal/Swift Response,1-800-424-9300,MIXTURE,PROPRIETARY,Rubber polymer suspension,Liquid,32 fl oz,GHS07,Warning,"Eye Irrit. 2, Skin Irrit. 2",1,1,0,,>200,,,,,No,,"10,000",,No,No,,No,General,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Brushable rubber coating
39,Flex Seal Aerosol,Flex Seal/Swift Response,1-800-424-9300,MIXTURE,"64742-47-8, 67-64-1","Petroleum distillates, Acetone, Rubber",Liquid/Aerosol,aerosol,"GHS02, GHS07",Danger,Flam. Aerosol 1,1,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, ventilation",,,Yes,No,Aerosol rubber sealant
40,Spotcheck SKL-SP2 Dye Penetrant,Magnaflux,1-800-424-9300,64742-47-8,"64742-53-6, 68476-86-8","Petroleum distillates, Heavy petroleum gas, Dye",Liquid/Aerosol,10.5 oz,"GHS02, GHS07, GHS08, GHS09",Danger,"Flam. Aerosol 1, Asp. Tox. 1, Aquatic Chronic 2",2,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,"NDT visible dye penetrant - meets AMS 2644, MIL-PRF-25135, ASTM E165"
41,Spotcheck SKD-S2 Developer,Magnaflux,1-800-424-9300,MIXTURE,"64742-47-8, 64742-88-7","Petroleum distillates, Solvent naphtha",Liquid/Aerosol,11.6 oz,"GHS02, GHS07",Danger,"Flam. Aerosol 1, Eye Irrit. 2",1,3,0,,-4,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,NDT solvent-based developer - meets AMS 2644
42,Plastic Primer,Rust-Oleum,1-800-323-3584,MIXTURE,"67-64-1, 64742-89-8","Acetone, Solvent naphtha",Liquid/Aerosol,12 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, STOT SE 3, Asp. Tox. 1",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Promotes adhesion to plastic substrates
43,Stops Rust Protective Enamel,Rust-Oleum,1-800-323-3584,MIXTURE,"64742-89-8, 1330-20-7","Solvent naphtha, Xylene",Liquid/Aerosol,12 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, STOT SE 3, Asp. Tox. 1",2,3,0,,20,,100 ppm (xylene),100 ppm,900 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Rust-preventive enamel coating
44,Fluorescent Spray Paint (Green),Rust-Oleum,1-800-323-3584,MIXTURE,"67-64-1, 64742-89-8","Acetone, Solvent naphtha, Fluorescent pigment",Liquid/Aerosol,11 oz,"GHS02, GHS07",Danger,"Flam. Aerosol 1, STOT SE 3",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,High-visibility fluorescent paint
45,Professional High Performance Enamel,Rust-Oleum,1-800-323-3584,MIXTURE,"64742-89-8, 1330-20-7","Solvent naphtha, Xylene",Liquid/Aerosol,aerosol,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, STOT SE 3, Asp. Tox. 1",2,3,0,,20,,100 ppm (xylene),100 ppm,900 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Industrial-grade protective enamel
46,Mobilith SHC 220 Synthetic Grease,ExxonMobil,1-800-424-9300,MIXTURE,PROPRIETARY,"Synthetic hydrocarbon base oil, Lithium complex thickener",Semi-solid,cartridge,,,Not classified,0,1,0,,>400,,5 mg/m³ (oil mist),5 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,High-performance synthetic grease
47,White Lithium Grease,Lucas Oil Products,1-800-424-9300,MIXTURE,"8042-47-5, 7620-77-1","White mineral oil, Lithium hydroxystearate",Semi-solid,8 oz tube,,,Not classified,0,1,0,,>400,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,Multi-purpose NLGI #2 grease
48,Multi-Purpose Synthetic Grease (with PTFE),Super Lube,1-800-424-9300,MIXTURE,9002-84-0,"Synthetic base oil, PTFE",Semi-solid,tube,,,Not classified,0,1,0,,>400,,,,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,"NSF H1 registered, -40°F to 450°F range"
49,No. 6-AA Multi-Purpose Grease,Lubriplate,1-800-424-9300,MIXTURE,"64742-65-0, 7620-77-1","Petroleum oil, Lithium 12-hydroxystearate",Semi-solid,10 oz tube,,,Not classified,0,1,0,,>400,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,General purpose NLGI #2 grease
50,No. 630-AA Multi-Purpose Grease,Lubriplate,1-800-424-9300,MIXTURE,"64742-65-0, 7620-77-1","Petroleum oil, Lithium 12-hydroxystearate",Semi-solid,tube,,,Not classified,0,1,0,,>400,,5 mg/m³,5 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,NLGI #1 for high-speed applications
51,"QUAD MAX Window, Door & Siding Sealant",OSI/Henkel,1-800-624-7767,MIXTURE,14808-60-7,"Silane polymers, Crystalline silica (quartz)",Semi-solid,9.5 fl oz,GHS08,Warning,Carc. 1A (if inhaled as dust),2,1,0,,N/A,,0.025 mg/m³ (silica),0.025 mg/m³,25 mg/m³,No,,"10,000",,No,CARCINOGEN (silica),,No,Sealant,None significant when cured,No,"Gloves, ventilation if sanding cured product",,,Yes,No,⚠️ PROP 65: Contains crystalline silica - carcinogen if inhaled. No dust exposure during normal application. Hazard exists if sanding/grinding cured sealant.
52,Heavy Duty Construction Adhesive,Liquid Nails,1-800-634-0015,MIXTURE,PROPRIETARY,"Latex polymer emulsion, Calcium carbonate",Semi-solid,10 fl oz,GHS07,Warning,Eye Irrit. 2,1,1,0,,N/A,,,,,No,,"10,000",,No,No,,No,General,None significant,No,"Safety glasses, gloves",,,Yes,No,Water-resistant latex-based construction adhesive
53,Professional Inverted Striping Paint,Rust-Oleum,1-800-323-3584,MIXTURE,"67-64-1, 64742-89-8","Acetone, Solvent naphtha",Liquid/Aerosol,aerosol,"GHS02, GHS07",Danger,"Flam. Aerosol 1, STOT SE 3",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Inverted marking paint for line striping
54,Engine Enamel with Ceramic,Dupli-Color,1-800-247-3268,MIXTURE,"67-64-1, 1330-20-7","Acetone, Xylene",Liquid/Aerosol,12 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, STOT SE 3, Asp. Tox. 1",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Heat-resistant to 500°F
55,Farm & Implement Paint,Rust-Oleum,1-800-323-3584,MIXTURE,"64742-89-8, 1330-20-7","Solvent naphtha, Xylene",Liquid/Aerosol,12 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, STOT SE 3, Asp. Tox. 1",2,3,0,,20,,100 ppm (xylene),100 ppm,900 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Matches OEM equipment colors
56,Custom Spray 5-in-1 Protective Enamel,Rust-Oleum,1-800-323-3584,MIXTURE,"67-64-1, 64742-89-8","Acetone, Solvent naphtha",Liquid/Aerosol,12 oz,"GHS02, GHS07",Danger,"Flam. Aerosol 1, STOT SE 3",2,4,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,5-in-1 primer and paint
57,Electronics Duster,Innovera,1-800-424-9300,75-37-6,,"1,1-Difluoroethane",Liquefied Gas,10 oz,"GHS02, GHS04",Danger,"Flam. Gas 1, Press. Gas",1,4,0,,-4,,,,,No,,"10,000",,No,No,,No,Flammable/Gas,"Strong oxidizers, open flames",Yes,"Ventilation, no open flames",,,Yes,No,Compressed gas duster - contains bitterant to deter abuse. GWP concern.
58,MAP-Pro Torch Fuel,BernzOmatic,1-800-654-9011,MIXTURE,"74-98-6, 115-07-1","Propane, Propylene",Liquefied Gas,14.1 oz,"GHS02, GHS04",Danger,"Flam. Gas 1, Press. Gas",1,4,0,,-156,,1000 ppm (propane),1000 ppm,2100 ppm,No,,"10,000",,No,No,,No,Flammable/Gas,"Strong oxidizers, open flames",Yes,"Ventilation, no ignition sources",,,Yes,No,High-temp torch fuel - burns hotter than propane alone
59,Copaslip High Temperature Anti-Seize,Molyslip,1-800-424-9300,MIXTURE,7440-50-8,"Copper powder, Petroleum grease",Semi-solid,tube,,,Not classified,1,1,0,,>400,,1 mg/m³ (Cu),1 mg/m³,,No,,"10,000",,No,No,,No,Metals/General,"Strong oxidizers, ammonia",No,Gloves,,,Yes,No,Copper-based anti-seize for high temp applications
60,Camping Gas (Propane/Butane),BernzOmatic,1-800-654-9011,MIXTURE,"74-98-6, 106-97-8","Propane, Butane",Liquefied Gas,16 oz,"GHS02, GHS04",Danger,"Flam. Gas 1, Press. Gas",1,4,0,,-156,,1000 ppm,1000 ppm,2100 ppm,No,,"10,000",,No,No,,No,Flammable/Gas,"Strong oxidizers, open flames",Yes,"Ventilation, no ignition sources",,,Yes,No,Portable fuel cylinder
61,Instant Ignite Lighter Fluid,CharKing,,MIXTURE,64742-47-8,Petroleum distillates,Liquid,32 fl oz,"GHS02, GHS08",Danger,"Flam. Liq. 3, Asp. Tox. 1",1,2,0,,105,,100 ppm,100 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Charcoal lighter fluid
62,Isopropyl Alcohol 70% (USP/NF),Pharmco,1-800-424-9300,67-63-0,,"Isopropyl alcohol, Water",Liquid,1 gallon,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",1,3,0,,53,,400 ppm,200 ppm,2000 ppm,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, strong acids",Yes,"Safety glasses, gloves, ventilation",,,Yes,No,USP/NF reagent grade
